Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
2011,0.0,0.0,0.0,0.0,0.268853575,550.4139376,1337.720941,833.2309902,300.389805,85.47188158,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,228.6277839,537.5753856,598.2533399,493.7362538,104.8371247,0.0,0.0
2013,0.0,0.0,0.0,0.0,2.296849728,1048.49304,1021.239954,264.4682936,256.6817358,61.885023,3.542512074,0.26068452
2014,0.469232142,4.083138466,0.0,0.0,0.0,61.05866189,1358.833554,448.2088257,320.7343544,37.69849342,4.805495977,15.20597553
2015,0.0,0.0,13.02274169,0.729916632,1.146466374,931.0952232,329.2418017,193.1402187,219.4608938,67.33529718,1.635962784,0.0
2016,0.0,0.0,4.842941761,0.0,1.714244768,580.586157,830.1761922,544.1537029,731.2968402,82.12827992,0.0,0.0
2017,0.0,0.0,0.0,0.0,1.043890387,584.9467484,702.3865944,796.9970459,539.932782,102.1081349,0.0,79.68544579
2018,0.0,0.0,0.0,0.0,0.0,846.8559874,913.4704611,228.5904198,78.93594389,13.3545742,8.939212203,0.0
2019,0.0,0.0,0.0,0.0,0.0,412.7637303,1302.466441,479.8346032,987.7966596,92.00844179,57.01450062,1.172424674
2020,0.0,0.0,0.104273811,0.0,0.0,439.8145693,1328.766631,1182.080688,411.2476784,184.4583854,0.0,16.78730521
2021,0.727234683,0.825875511,0.010660197,0.002233115,219.0750599,796.3072748,981.1466455,323.1998957,601.2475175,36.04043196,25.15694219,90.04460216
